Event Id,Investigation Type,Accident Number,Event Date,Location,Country,Latitude,Longitude,Airport Code,Airport Name,Injury Severity,Aircraft Damage,Aircraft Category,Registration Number,Make,Model,Amateur Built,Number of Engines,Engine Type,FAR Description,Schedule,Purpose of Flight,Air Carrier,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Weather Condition,Broad Phase of Flight,Report Status,Publication Date,
20001211X09626 , Accident , ATL98FA059 , 03/22/1998 ," SOUTHPORT, NC ", United States ,,, SUT , BRUNSWICK COUNTY AIRPORT , Non-Fatal , Destroyed ,  , N715PM , Piper , PA-31-310 , No ,2, Reciprocating ,  ,  , Personal ,  ,0.0,3.0,0.0,0.0, VMC , TAKEOFF , Probable Cause , 05/19/1999 , 
20001211X09633 , Accident , CHI98FA106 , 03/21/1998 ," GRAIN VALLEY, MO ", United States ,,, 3GV , GRAIN VALLEY AIRPORT , Fatal(6) , Destroyed ,  , N506SD , Cessna , U206G , No ,1, Reciprocating ,  ,  , Unknown ,  ,6.0,0.0,0.0,0.0, VMC , CRUISE , Probable Cause , 06/22/2000 , 
20001211X09772 , Accident , NYC98WA080 , 03/20/1998 ," NEWFOUNDLAND, Canada ", Canada ,,,  ,  , Non-Fatal , Destroyed ,  , N456MR , Piper , PA23-250 , No ,  , Unknown ,  ,  , Ferry ,  ,0.0,1.0,1.0,0.0, IMC ,  , Foreign , 03/27/1998 , 
20001211X09634 , Accident , CHI98FA107 , 03/20/1998 ," NEW LEBANON, IN ", United States ,,,  ,  , Fatal(4) , Destroyed ,  , N1812A , Beech , A-36 , No ,1, Reciprocating ,  ,  , Business ,  ,4.0,0.0,0.0,0.0, IMC , CRUISE , Probable Cause , 09/28/1999 , 
20001211X09700 , Accident , LAX98FA118B , 03/19/1998 ," CORONA, CA ", United States ,,, AJO , CORONA MUNICIPAL , Fatal(3) , Destroyed ,  , N6575L , Cessna ,152, No ,1, Reciprocating ,  ,  , Positioning ,  ,3.0,0.0,0.0,0.0, VMC , MANEUVERING , Probable Cause , 10/13/2000 , 
20001211X09700 , Accident , LAX98FA118A , 03/19/1998 ," CORONA, CA ", United States ,,, AJO , CORONA MUNICIPAL , Fatal(3) , Destroyed ,  , N310RR , Cessna , 310H , No ,2, Reciprocating ,  ,  , Personal ,  ,3.0,0.0,0.0,0.0, VMC , CRUISE , Probable Cause , 10/13/2000 , 
20001211X09659 , Accident , FTW98FA151 , 03/19/1998 ," MCGEHEE, AR ", United States ,,,  ,  , Fatal(1) , Destroyed ,  , N10035 , Air Tractor , AT-502 , No ,1, Turbo Prop ,  , UNK , Aerial Application ,  ,1.0,0.0,0.0,0.0, IMC , MANEUVERING , Probable Cause , 02/15/2001 , 
20001211X09647 , Accident , DCA98RA030 , 03/18/1998 ," TAIPAI, Taiwan ", Taiwan ,,,  ,  , Fatal(13) , Destroyed ,  , UNK , Saab-Scania AB (Saab) ,340, No ,  , Unknown ,  , NSCH , Unknown ,  ,13.0,0.0,0.0,0.0, UNK ,  , Foreign , 09/24/1998 , 
20001211X09699 , Accident , LAX98FA113 , 03/15/1998 ," LITTLE RIVER, CA ", United States ,,,  ,  , Fatal(4) , Destroyed ,  , N569T , Beech , B95A , No ,2, Reciprocating ,  ,  , Personal ,  ,4.0,0.0,0.0,0.0, IMC , TAKEOFF , Probable Cause , 02/15/2001 , 
20001211X09688 , Accident , IAD98FA037 , 03/15/1998 ," WEST MIFFLIN, PA ", United States ,,, AGC , ALLEGHENY COUNTY , Fatal(1) , Destroyed ,  , N67893 , Cessna ,152, No ,1, Reciprocating ,  ,  , Instructional ,  ,1.0,0.0,0.0,0.0, VMC , DESCENT , Probable Cause , 06/22/2000 , 
